,FID,LakeName_N,DrainSqm,StartYear,EstVolOrig,EstVol2015,LossVolPct,LossVPct,loss
1,0,Webster Lake,1125,1956,77370,76429,1.20%,1.2,941
2,1,Melvern Lake,349,1972,154370,148869,3.60%,3.6,5501
3,2,Wilson Lake,1917,1963,247835,236851,4.40%,4.4,10984
4,3,El Dorado Lake,234,1979,163929,156402,4.60%,4.6,7527
5,4,Kirwin Lake,1373,1955,99435,94762,4.70%,4.7,4673
6,5,Marion Lake,200,1967,84948,79916,5.90%,5.9,5032
7,6,Cheney Lake,933,1964,167040,156420,6.40%,6.4,10620
8,7,Keith Sebelius Lake,712,1964,36127,33855,6.30%,6.3,2272
9,8,Hillsdale Lake,144,1981,82207,76388,7.10%,7.1,5819
10,9,Cedar Bluff Lake,5339,1950,185496,168581,9.10%,9.1,16915
11,10,Clinton Lake,367,1977,129171,116653,9.70%,9.7,12518
12,11,Milford Lake,4129,1967,415352,367511,11.50%,11.5,47841
13,12,Waconda Lake,4945,1967,242017,209956,13.20%,13.2,32061
14,13,Big Hill Lake,37,1980,27215,22645,16.80%,16.8,4570
15,14,Council Grove Lake,246,1963,52375,42666,18.50%,18.5,9709
16,15,Perry Lake,1117,1962,243220,194111,20.20%,20.2,49109
17,16,Lovewell Lake,364,1957,44768,35399,20.90%,20.9,9369
18,17,Pomona Lake,322,1963,70603,53528,24.20%,24.2,17075
19,18,Elk City Lake,634,1965,52556,34939,33.50%,33.5,17617
20,19,Fall River Lake,585,1948,30401,19898,34.50%,34.5,10503
21,20,Kanopolis Lake,7679,1948,73200,45177,38.30%,38.3,28023
22,21,John Redmond Lake,3015,1963,102254,62498,38.90%,38.9,39756
23,22,Toronto Lake,730,1959,27320,15454,43.40%,43.4,11866
24,23,Tuttle Creek Lake,9641,1962,425312,235605,44.60%,44.6,189707
25,0,0,0,0,0,0,0,0,0
