"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Bourbon",-184.7,"FORT SCOTT",1992-07-23,374953094425901,11,25,c(-94.717068, 37.830419),"1992","215-144",-94.717068,37.830419
"2","Bourbon",-183.55,"FORT SCOTT",1992-09-03,374953094425901,11,25,c(-94.717068, 37.830419),"1992","215-144",-94.717068,37.830419
"3","Bourbon",-183.34,"FORT SCOTT",1992-12-09,374953094425901,11,25,c(-94.717068, 37.830419),"1992","215-144",-94.717068,37.830419
"4","Bourbon",-183.4,"FORT SCOTT",1993-03-05,374953094425901,11,25,c(-94.717068, 37.830419),"1993","215-144",-94.717068,37.830419
"5","Bourbon",-182.82,"FORT SCOTT",1993-06-04,374953094425901,11,25,c(-94.717068, 37.830419),"1993","215-144",-94.717068,37.830419
"6","Bourbon",-222.3,"Fort Scott",1988-03-09,374947094430101,11,25,c(-94.717086, 37.829861),"1988","287-216",-94.717086,37.829861
"7","Bourbon",-221.75,"Fort Scott",1988-06-09,374947094430101,11,25,c(-94.717086, 37.829861),"1988","287-216",-94.717086,37.829861
"8","Bourbon",-226.8,"Fort Scott",1988-09-07,374947094430101,11,25,c(-94.717086, 37.829861),"1988","287-216",-94.717086,37.829861
"9","Bourbon",-230.2,"Fort Scott",1988-12-09,374947094430101,11,25,c(-94.717086, 37.829861),"1988","287-216",-94.717086,37.829861
"10","Bourbon",-229.6,"Fort Scott",1989-03-08,374947094430101,11,25,c(-94.717086, 37.829861),"1989","287-216",-94.717086,37.829861
"11","Bourbon",-226.4,"Fort Scott",1989-06-06,374947094430101,11,25,c(-94.717086, 37.829861),"1989","287-216",-94.717086,37.829861
"12","Bourbon",-228.15,"Fort Scott",1989-09-08,374947094430101,11,25,c(-94.717086, 37.829861),"1989","287-216",-94.717086,37.829861
"13","Bourbon",-225.5,"Fort Scott",1989-12-13,374947094430101,11,25,c(-94.717086, 37.829861),"1989","287-216",-94.717086,37.829861
"14","Bourbon",-225.35,"Fort Scott",1990-03-07,374947094430101,11,25,c(-94.717086, 37.829861),"1990","287-216",-94.717086,37.829861
"15","Bourbon",-224.35,"Fort Scott",1990-06-08,374947094430101,11,25,c(-94.717086, 37.829861),"1990","287-216",-94.717086,37.829861
"16","Bourbon",-225.2,"Fort Scott",1990-09-04,374947094430101,11,25,c(-94.717086, 37.829861),"1990","287-216",-94.717086,37.829861
