"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat","sat","satcut"
"1","Morton",-239.05,"ROLLA SE",2008-01-07,370136101360401,129,35,c(-101.600938, 37.025356),"2008","287-216",-101.600938,37.025356,248.9849548,"198-262"
"2","Seward",-153.4,"Liberal",2008-01-07,370023100550801,175,35,c(-100.917644, 37.005856),"2008","215-144",-100.917644,37.005856,479.9810486,"459-525"
"3","Seward",-152.49,"Liberal",2008-01-07,370023100550801,175,35,c(-100.917644, 37.005856),"2008","215-144",-100.917644,37.005856,479.9810486,"459-525"
"4","Morton",-111.62,"ELKHART NORTH",2008-01-07,370217101593801,129,35,c(-101.994048, 37.035692),"2008","143-72",-101.994048,37.035692,66.13626862,"66-131"
"5","Cherokee",-105.25,"BAXTER SPRINGS",2008-03-17,370659094403601,21,34,c(-94.674931, 37.117084),"2008","143-72",-94.674931,37.117084,NA,NA
"6","Cherokee",-105.34,"BAXTER SPRINGS",2008-06-12,370659094403601,21,34,c(-94.674931, 37.117084),"2008","143-72",-94.674931,37.117084,NA,NA
"7","Cherokee",-109.54,"BAXTER SPRINGS",2008-09-10,370659094403601,21,34,c(-94.674931, 37.117084),"2008","143-72",-94.674931,37.117084,NA,NA
"8","Cherokee",-107.92,"BAXTER SPRINGS",2008-12-09,370659094403601,21,34,c(-94.674931, 37.117084),"2008","143-72",-94.674931,37.117084,NA,NA
"9","Meade",-249.85,"Kismet NE",2008-01-08,371116100353601,119,33,c(-100.594315, 37.18826),"2008","287-216",-100.594315,37.18826,266.4899292,"263-328"
"10","Pratt",-35.08,"Sun City NE",2008-01-04,372902098473802,151,29,c(-98.793447, 37.48398),"2008","71-0",-98.793447,37.48398,119.3940887,"66-131"
"11","Pratt",-35.23,"Sun City NE",2008-04-08,372902098473802,151,29,c(-98.793447, 37.48398),"2008","71-0",-98.793447,37.48398,119.3940887,"66-131"
"12","Pratt",-35.14,"Sun City NE",2008-07-07,372902098473802,151,29,c(-98.793447, 37.48398),"2008","71-0",-98.793447,37.48398,119.3940887,"66-131"
"13","Pratt",-35.69,"Sun City NE",2008-10-10,372902098473802,151,29,c(-98.793447, 37.48398),"2008","71-0",-98.793447,37.48398,119.3940887,"66-131"
"14","Pratt",-35.02,"Sun City NE",2008-01-04,372902098473803,151,29,c(-98.793427, 37.483942),"2008","71-0",-98.793427,37.483942,119.3940887,"66-131"
"15","Pratt",-35.19,"Sun City NE",2008-04-08,372902098473803,151,29,c(-98.793427, 37.483942),"2008","71-0",-98.793427,37.483942,119.3940887,"66-131"
"16","Pratt",-35.06,"Sun City NE",2008-07-07,372902098473803,151,29,c(-98.793427, 37.483942),"2008","71-0",-98.793427,37.483942,119.3940887,"66-131"
"17","Pratt",-35.58,"Sun City NE",2008-10-10,372902098473803,151,29,c(-98.793427, 37.483942),"2008","71-0",-98.793427,37.483942,119.3940887,"66-131"
"18","Haskell",-302.16,"Sublette",2008-01-15,372916100453401,81,29,c(-100.761626, 37.484684),"2008","359-288",-100.761626,37.484684,191.1691132,"132-197"
"19","Seward",-273.54,"Sublette SW",2008-01-08,371641100594601,175,32,c(-100.996843, 37.278474),"2008","287-216",-100.996843,37.278474,202.8879242,"198-262"
"20","Stevens",-226.04,"WOODS",2008-01-07,370958101055501,189,33,c(-101.103341, 37.162395),"2008","287-216",-101.103341,37.162395,321.0385132,"263-328"
"21","Stevens",-226.03,"WOODS",2008-01-07,370958101055501,189,33,c(-101.103341, 37.162395),"2008","287-216",-101.103341,37.162395,321.0385132,"263-328"
"22","Morton",-93.39,"Rolla NE",2008-01-07,371103101334301,129,33,c(-101.563638, 37.184785),"2008","143-72",-101.563638,37.184785,273.7145386,"263-328"
"23","Gray",-259.16,"Copeland SE",2008-01-07,373054100354402,69,29,c(-100.597732, 37.514304),"2008","287-216",-100.597732,37.514304,178.2752533,"132-197"
"24","Morton",-232.78,"Shore Airport SE",2008-01-07,372043101363101,129,31,c(-101.610442, 37.344952),"2008","287-216",-101.610442,37.344952,34.85247421,"0-65"
"25","Meade",-101.08,NA,2008-01-28,371931100115502,119,31,c(-100.199692, 37.328903),"2008","143-72",-100.199692,37.328903,107.1641388,"66-131"
"26","Ford",-36.49,"Minneola",2008-01-03,372906100072002,57,29,c(-100.123595, 37.487889),"2008","71-0",-100.123595,37.487889,147.8143311,"132-197"
"27","Meade",-66.08,"MEADE NE",2008-01-07,372446100160201,119,30,c(-100.270521, 37.416323),"2008","71-0",-100.270521,37.416323,260.5038452,"198-262"
"28","Sumner",-5.3,"CONWAY SPRINGS",2008-12-10,372317097434801,191,31,c(-97.73014, 37.386712),"2008","71-0",-97.73014,37.386712,NA,NA
"29","Stanton",-138.42,"Saunders",2008-01-06,372840102014101,187,29,c(-102.028654, 37.478867),"2008","143-72",-102.028654,37.478867,10,"0-65"
"30","Sumner",-14.37,"NORWICH",2008-12-10,372528097455901,191,30,c(-97.769317, 37.421033),"2008","71-0",-97.769317,37.421033,4.612901688,"0-65"
"31","Stanton",-196.91,"RICHFIELD NE",2008-01-07,372556101454002,187,30,c(-101.761947, 37.43234),"2008","215-144",-101.761947,37.43234,10,"0-65"
"32","Pratt",-52.55,"Isabel",2008-01-04,372818098345503,151,29,c(-98.582033, 37.470795),"2008","71-0",-98.582033,37.470795,110.6722717,"66-131"
"33","Pratt",-52.71,"Isabel",2008-04-08,372818098345503,151,29,c(-98.582033, 37.470795),"2008","71-0",-98.582033,37.470795,110.6722717,"66-131"
"34","Pratt",-52.91,"Isabel",2008-07-07,372818098345503,151,29,c(-98.582033, 37.470795),"2008","71-0",-98.582033,37.470795,110.6722717,"66-131"
"35","Pratt",-53.1,"Isabel",2008-10-10,372818098345503,151,29,c(-98.582033, 37.470795),"2008","71-0",-98.582033,37.470795,110.6722717,"66-131"
"36","Grant",-236.78,"Moscow NW",2008-01-16,372826101125501,67,30,c(-101.216446, 37.474564),"2008","287-216",-101.216446,37.474564,227.346344,"198-262"
"37","Pratt",-31.47,"Sun City NE",2008-01-02,372838098470601,151,29,c(-98.784215, 37.477647),"2008","71-0",-98.784215,37.477647,107.6531219,"66-131"
"38","Pratt",-1.35,"Cairo",2008-01-15,373905098332501,151,27,c(-98.557288, 37.652069),"2008","71-0",-98.557288,37.652069,121.8390961,"66-131"
"39","Kiowa",-102.43,"BRENGAM",2008-01-10,373612099093801,97,28,c(-99.163669, 37.602918),"2008","143-72",-99.163669,37.602918,112.3295593,"66-131"
"40","Kiowa",-102.49,"BRENGAM",2008-04-28,373612099093801,97,28,c(-99.163669, 37.602918),"2008","143-72",-99.163669,37.602918,112.3295593,"66-131"
"41","Kiowa",-102.91,"BRENGAM",2008-10-30,373612099093801,97,28,c(-99.163669, 37.602918),"2008","143-72",-99.163669,37.602918,112.3295593,"66-131"
"42","Kingman",-7.14,"PENALOSA",2008-01-17,373819098154001,95,28,c(-98.261955, 37.640191),"2008","71-0",-98.261955,37.640191,25.90983963,"0-65"
"43","Haskell",-238.24,"Wild Horse Lake",2008-01-15,373929100453601,81,27,c(-100.761438, 37.658774),"2008","287-216",-100.761438,37.658774,205.5494995,"198-262"
"44","Kiowa",-72.04,"HAVILAND NE",2008-01-10,373938099043601,97,27,c(-99.079053, 37.659267),"2008","143-72",-99.079053,37.659267,94.57846832,"66-131"
"45","Kiowa",-73.7,"HAVILAND NE",2008-11-18,373938099043601,97,27,c(-99.079053, 37.659267),"2008","143-72",-99.079053,37.659267,94.57846832,"66-131"
