"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat"
"1","Finney",-77.5,"COPELAND NW",1961-10-04,374426100395001,55,26,c(-100.664863, 37.742685),"1961","143-72",-100.664863,37.742685
"2","Finney",-77.64,"COPELAND NW",1962-01-30,374426100395001,55,26,c(-100.664863, 37.742685),"1962","143-72",-100.664863,37.742685
"3","Finney",-77.94,"COPELAND NW",1962-09-13,374426100395001,55,26,c(-100.664863, 37.742685),"1962","143-72",-100.664863,37.742685
"4","Finney",-78.16,"COPELAND NW",1963-02-06,374426100395001,55,26,c(-100.664863, 37.742685),"1963","143-72",-100.664863,37.742685
"5","Finney",-78.82,"COPELAND NW",1964-03-13,374426100395001,55,26,c(-100.664863, 37.742685),"1964","143-72",-100.664863,37.742685
"6","Finney",-79.67,"COPELAND NW",1965-03-03,374426100395001,55,26,c(-100.664863, 37.742685),"1965","143-72",-100.664863,37.742685
"7","Finney",-80.35,"COPELAND NW",1966-01-25,374426100395001,55,26,c(-100.664863, 37.742685),"1966","143-72",-100.664863,37.742685
"8","Finney",-81.35,"COPELAND NW",1967-01-24,374426100395001,55,26,c(-100.664863, 37.742685),"1967","143-72",-100.664863,37.742685
"9","Finney",-82.57,"COPELAND NW",1968-01-17,374426100395001,55,26,c(-100.664863, 37.742685),"1968","143-72",-100.664863,37.742685
"10","Finney",-84.89,"COPELAND NW",1969-01-23,374426100395001,55,26,c(-100.664863, 37.742685),"1969","143-72",-100.664863,37.742685
"11","Finney",-85.82,"COPELAND NW",1970-01-23,374426100395001,55,26,c(-100.664863, 37.742685),"1970","143-72",-100.664863,37.742685
"12","Finney",-87.58,"COPELAND NW",1971-01-28,374426100395001,55,26,c(-100.664863, 37.742685),"1971","143-72",-100.664863,37.742685
"13","Finney",-88.7,"COPELAND NW",1972-01-12,374426100395001,55,26,c(-100.664863, 37.742685),"1972","143-72",-100.664863,37.742685
"14","Finney",-88.86,"COPELAND NW",1973-01-17,374426100395001,55,26,c(-100.664863, 37.742685),"1973","143-72",-100.664863,37.742685
"15","Finney",-88.94,"COPELAND NW",1974-01-16,374426100395001,55,26,c(-100.664863, 37.742685),"1974","143-72",-100.664863,37.742685
"16","Finney",-91.64,"COPELAND NW",1975-01-15,374426100395001,55,26,c(-100.664863, 37.742685),"1975","143-72",-100.664863,37.742685
"17","Finney",-94.49,"COPELAND NW",1976-01-30,374426100395001,55,26,c(-100.664863, 37.742685),"1976","143-72",-100.664863,37.742685
"18","Finney",-98.2,"COPELAND NW",1977-02-01,374426100395001,55,26,c(-100.664863, 37.742685),"1977","143-72",-100.664863,37.742685
"19","Finney",-102.75,"COPELAND NW",1978-01-27,374426100395001,55,26,c(-100.664863, 37.742685),"1978","143-72",-100.664863,37.742685
"20","Finney",-106.7,"COPELAND NW",1979-01-03,374426100395001,55,26,c(-100.664863, 37.742685),"1979","143-72",-100.664863,37.742685
"21","Finney",-110.03,"COPELAND NW",1980-01-11,374426100395001,55,26,c(-100.664863, 37.742685),"1980","143-72",-100.664863,37.742685
"22","Finney",-113.31,"COPELAND NW",1981-01-21,374426100395001,55,26,c(-100.664863, 37.742685),"1981","143-72",-100.664863,37.742685
"23","Finney",-116.57,"COPELAND NW",1982-01-14,374426100395001,55,26,c(-100.664863, 37.742685),"1982","143-72",-100.664863,37.742685
"24","Finney",-117.94,"COPELAND NW",1983-01-12,374426100395001,55,26,c(-100.664863, 37.742685),"1983","143-72",-100.664863,37.742685
"25","Finney",-120.05,"COPELAND NW",1984-02-02,374426100395001,55,26,c(-100.664863, 37.742685),"1984","143-72",-100.664863,37.742685
"26","Finney",-123.1,"COPELAND NW",1985-01-23,374426100395001,55,26,c(-100.664863, 37.742685),"1985","143-72",-100.664863,37.742685
"27","Finney",-126,"COPELAND NW",1986-01-16,374426100395001,55,26,c(-100.664863, 37.742685),"1986","143-72",-100.664863,37.742685
"28","Finney",-127.4,"COPELAND NW",1986-12-29,374426100395001,55,26,c(-100.664863, 37.742685),"1986","143-72",-100.664863,37.742685
"29","Finney",-128.73,"COPELAND NW",1988-01-21,374426100395001,55,26,c(-100.664863, 37.742685),"1988","143-72",-100.664863,37.742685
"30","Finney",-131.77,"COPELAND NW",1989-02-14,374426100395001,55,26,c(-100.664863, 37.742685),"1989","143-72",-100.664863,37.742685
"31","Finney",-134.32,"COPELAND NW",1989-12-27,374426100395001,55,26,c(-100.664863, 37.742685),"1989","143-72",-100.664863,37.742685
"32","Finney",-137.98,"COPELAND NW",1991-01-15,374426100395001,55,26,c(-100.664863, 37.742685),"1991","143-72",-100.664863,37.742685
