"","countyname","depth_to_water","town","date","ID","countycode","township","geometry","year2","depth","long","lat","sat","satcut"
"1","Sumner",-11.74,NA,1959-07-07,372751097140501,191,30,c(-97.235169, 37.464513),"1959","71-0",-97.235169,37.464513,NA,NA
"2","Meade",-14.78,NA,1959-01-08,372452100153801,119,30,c(-100.262735, 37.417412),"1959","71-0",-100.262735,37.417412,244.6885071,"198-262"
"3","Meade",-15.71,NA,1959-07-17,372452100153801,119,30,c(-100.262735, 37.417412),"1959","71-0",-100.262735,37.417412,244.6885071,"198-262"
"4","Meade",-16.08,NA,1959-10-21,372452100153801,119,30,c(-100.262735, 37.417412),"1959","71-0",-100.262735,37.417412,244.6885071,"198-262"
"5","Sumner",-9.72,NA,1959-07-07,372626097134801,191,30,c(-97.231156, 37.441396),"1959","71-0",-97.231156,37.441396,NA,NA
"6","Stanton",-176.84,NA,1959-11-03,372428101555701,187,30,c(-101.932992, 37.409153),"1959","215-144",-101.932992,37.409153,10,"0-65"
"7","Stanton",-93.3,NA,1959-10-29,372345101320801,187,30,c(-101.536087, 37.396583),"1959","143-72",-101.536087,37.396583,113.9638977,"66-131"
"8","Stevens",-227,"Moscow SE",1959-02-01,372128101065001,189,31,c(-101.113242, 37.358374),"1959","287-216",-101.113242,37.358374,128.8565826,"66-131"
"9","Stevens",-226.52,"Moscow SE",1959-02-26,372128101065001,189,31,c(-101.113242, 37.358374),"1959","287-216",-101.113242,37.358374,128.8565826,"66-131"
"10","Grant",-134.68,NA,1959-02-12,372515101235101,67,30,c(-101.397232, 37.421715),"1959","143-72",-101.397232,37.421715,147.7418823,"132-197"
"11","Grant",-145.05,NA,1959-08-18,372515101235101,67,30,c(-101.397232, 37.421715),"1959","215-144",-101.397232,37.421715,147.7418823,"132-197"
"12","Grant",-138.6,NA,1959-11-13,372515101235101,67,30,c(-101.397232, 37.421715),"1959","143-72",-101.397232,37.421715,147.7418823,"132-197"
"13","Stanton",-99.73,"Saunders",1959-11-15,372840102014101,187,29,c(-102.028654, 37.478867),"1959","143-72",-102.028654,37.478867,10,"0-65"
"14","Sumner",-11.74,NA,1959-07-07,372659097142901,191,30,c(-97.242066, 37.450505),"1959","71-0",-97.242066,37.450505,NA,NA
"15","Sumner",-5.99,NA,1959-07-07,372659097142902,191,30,c(-97.242066, 37.450505),"1959","71-0",-97.242066,37.450505,NA,NA
"16","Haskell",-195.38,NA,1959-02-24,372405100520501,81,30,c(-100.867689, 37.401376),"1959","215-144",-100.867689,37.401376,217.1811676,"198-262"
"17","Morton",-156,NA,1959-03-01,371954101401701,129,31,c(-101.671708, 37.332267),"1959","215-144",-101.671708,37.332267,28.92772102,"0-65"
"18","Morton",-156.15,NA,1959-03-02,371954101401701,129,31,c(-101.671708, 37.332267),"1959","215-144",-101.671708,37.332267,28.92772102,"0-65"
"19","Morton",-160.1,NA,1959-08-18,371954101401701,129,31,c(-101.671708, 37.332267),"1959","215-144",-101.671708,37.332267,28.92772102,"0-65"
"20","Morton",-162.8,NA,1959-11-06,371954101401701,129,31,c(-101.671708, 37.332267),"1959","215-144",-101.671708,37.332267,28.92772102,"0-65"
"21","Grant",-115.16,"Ulysses SW",1959-10-26,373009101234301,67,29,c(-101.394705, 37.503805),"1959","143-72",-101.394705,37.503805,195.8860016,"132-197"
"22","Grant",-61.67,NA,1959-02-05,373036101281301,67,29,c(-101.470234, 37.510504),"1959","71-0",-101.470234,37.510504,194.1110687,"132-197"
"23","Stanton",-84,"Big Bow",1959-10-28,373031101350901,187,29,c(-101.585947, 37.50809),"1959","143-72",-101.585947,37.50809,157.9047699,"132-197"
"24","Gray",-86.36,NA,1959-10-21,373247100291101,69,29,c(-100.487352, 37.546669),"1959","143-72",-100.487352,37.546669,137.5526276,"132-197"
"25","Crawford",-205,NA,1959-06-01,373516095004401,37,28,c(-95.01203, 37.588183),"1959","215-144",-95.01203,37.588183,NA,NA
"26","Ford",-96.1,"BUCKLIN",1959-07-06,373309099384901,57,29,c(-99.645121, 37.556441),"1959","143-72",-99.645121,37.556441,52.66797638,"0-65"
"27","Ford",-96.04,"BUCKLIN",1959-10-20,373309099384901,57,29,c(-99.645121, 37.556441),"1959","143-72",-99.645121,37.556441,52.66797638,"0-65"
"28","Stanton",-210.84,NA,1959-11-03,373202101523501,187,29,c(-101.876551, 37.535387),"1959","215-144",-101.876551,37.535387,10,"0-65"
"29","Grant",-233.94,NA,1959-10-15,373206101053101,67,29,c(-101.092365, 37.53486),"1959","287-216",-101.092365,37.53486,195.7415619,"132-197"
"30","Stanton",-97.4,NA,1959-10-01,373614101365101,187,28,c(-101.615057, 37.604158),"1959","143-72",-101.615057,37.604158,165.6348877,"132-197"
"31","Stanton",-97.35,NA,1959-10-28,373614101365101,187,28,c(-101.615057, 37.604158),"1959","143-72",-101.615057,37.604158,165.6348877,"132-197"
"32","Grant",-92.49,NA,1959-02-03,373742101302001,67,28,c(-101.506413, 37.629336),"1959","143-72",-101.506413,37.629336,128.2467651,"66-131"
"33","Grant",-91.54,NA,1959-10-27,373742101302001,67,28,c(-101.506413, 37.629336),"1959","143-72",-101.506413,37.629336,128.2467651,"66-131"
"34","Grant",-93.3,NA,1959-12-31,373742101302001,67,28,c(-101.506413, 37.629336),"1959","143-72",-101.506413,37.629336,128.2467651,"66-131"
